English,Chinese
"So from Papua New Guinea to Hollywood all the way to modern art in Beijing, we smile often, and use smiles to express joy and satisfaction. ",佢嘅理論係話 笑容呢個動作本身 實際上會令我哋覺得更開心 而唔係 純粹感覺良好嘅結果 
How many people here in this room smile more than 20 times per day? ,佢研究入面 亦確實有提到法國神經學家杜鄉 杜鄉利用電擊 刺激面部，得到笑容 
Raise your hand if you do. ,唔該，千祈唔好響屋企模仿 
"Oh, wow. ",(笑) 一個響德國做嘅相關研究 研究員響注射肉毒捍菌 壓制笑容肌肉前後 用磁力共振造影 量度腦部活動 
"Outside of this room, more than a third of us smile more than 20 times per day, whereas less than 14 percent of us smile less than five. ",研究結困支持達爾文嘅理論 結果顯示面部回饋 改變腦部內神經 處理情緒嘅內容 所以我哋笑嗰陣會令我哋感到愉快 
"In fact, those with the most amazing superpowers are actually children, who smile as many as 400 times per day. ",笑容刺激我哋腦入面嘅獎賞系統 就算人所共知 可以引起歡愉心情嘅誘導劑 朱古力都望塵莫及 
"Have you ever wondered why being around children, who smile so frequently, makes you smile very often? ",英國研究員發現 一個微笑對腦部產生嘅刺激 有2000排朱古力咁強烈 
A recent study at Uppsala University in Sweden found that it's very difficult to frown when looking at someone who smiles. ,(笑) 仲有，同一個研究亦都發現 微笑可以引起 好似收到16000英鎊咁多嘅現金嘅刺激 
You ask why? ,咁即係一個微笑值成25000蚊美金 
"Because smiling is evolutionarily contagious, and it suppresses the control we usually have on our facial muscles. ",都唔錯喎 
"Mimicking a smile and experiencing it physically helps us understand whether our smile is fake or real, so we can understand the emotional state of the smiler. ",試諗下 25000乘以400 都唔少小朋友 日日都好似馬克．札克伯格咁有錢 
"In a recent mimicking study at the University of Clermont-Ferrand in France, subjects were asked to determine whether a smile was real or fake while holding a pencil in their mouth to repress smiling muscles. ",而且相比食大量嘅朱古力 笑得多仲可以令你更健康 
"Without the pencil, subjects were excellent judges, but with the pencil in their mouth -- when they could not mimic the smile they saw -- their judgment was impaired. ",笑有助於減低 加重壓力嘅荷爾蒙水平 例如皮質醇、腎上腺素同多巴胺 令好心情嘅荷爾蒙水平提高 好似腦內啡咁 亦會令整體血壓下降 
"(Laughter) In addition to theorizing on evolution in ""The Origin of Species,"" Charles Darwin also wrote the facial feedback response theory. ",唔止咁 笑容令其他人覺得 你親切可人 
"His theory states that the act of smiling itself actually makes us feel better, rather than smiling being merely a result of feeling good. ",響賓尼州立大學嘅研究發現 當你笑嗰陣 你睇上嚟唔單止可親有禮 仲會令你睇嚟好能幹添 
"In his study, Darwin actually cited a French neurologist, Guillaume Duchenne, who sent electric jolts to facial muscles to induce and stimulate smiles. ",所以無論你想睇上嚟靚啲、能幹啲 減低壓力 改善婚姻關係 或者想覺得好似啱啱食咗大排朱古力 又無付出卡路里嘅代價 又或者想好似響舊外套入面 搵到25000蚊美金響袋 甚至想得到超能力 令你同身邊嘅人 生活得長命啲、健康啲、開心啲 笑啦 (掌聲) 
"Please, don't try this at home. ",
"(Laughter) In a related German study, researchers used fMRI imaging to measure brain activity before and after injecting Botox to suppress smiling muscles. ",我係一名小兒科醫師亦係麻醉師， 我靠催眠D細路賺錢謀生。 
"The finding supported Darwin's theory, by showing that facial feedback modifies the neural processing of emotional content in the brain, in a way that helps us feel better when we smile. ",（笑聲） 我仲係一名學者，我可以唔使錢催眠聽眾。 
Smiling stimulates our brain reward mechanism in a way that even chocolate -- a well-regarded pleasure inducer -- cannot match. ,（笑聲） 但事實上我最做得最多嘅 係喺帕洛阿爾托市斯坦福帕卡德兒童醫院 進行痛楚管理。 
"British researchers found that one smile can generate the same level of brain stimulation as up to 2,000 bars of chocolate. ",喺果度嘅 有20至25年經驗 今日我想話比你地聽， 痛楚係一種疾病。 
"(Laughter) Wait -- The same study found that smiling is as stimulating as receiving up to 16,000 pounds sterling in cash. ",大多数情况， 你將痛楚睇成疾病嘅一種症狀。 好多時候都係啱嘅。 
(Laughter) That's like 25 grand a smile. ,佢可以係腫瘤或某種感染 或者係某種炎症亦或者係手術嘅症狀。 
It's not bad. ,但係有大概10%嘅情况， 患者從以上所講嘅情況恢復之後， 痛楚仍然持續。 
"And think about it this way: 25,000 times 400 -- quite a few kids out there feel like Mark Zuckerberg every day. ","而且持續好幾個月, 好多時仲係幾年。 哩種情況發生果陣， 佢就係疾病。 "
"(Laughter) And unlike lots of chocolate, lots of smiling can actually make you healthier. ",喺我講比你地聽佢點樣產生之前 以及我地可以點做之前， 我想同你地講下我D病人嘅感受。 
"Smiling can help reduce the level of stress-enhancing hormones like cortisol, adrenaline and dopamine, increase the level of mood-enhancing hormones like endorphins, and reduce overall blood pressure. ",如果可以，請你地想像一吓， 我用哩條羽毛掃你你嘅手臂， 就好似兒家我就掃緊自己。 
"And if that's not enough, smiling can actually make you look good in the eyes of others. ",請你地兒家開​​始想像吓 我用佢掃過哩度。 
"A recent study at Penn State University found that when you smile, you don't only appear to be more likable and courteous, but you actually appear to be more competent. ",大家坐好D啊 
"So whenever you want to look great and competent, reduce your stress or improve your marriage, or feel as if you just had a whole stack of high-quality chocolate without incurring the caloric cost, or as if you found 25 grand in a pocket of an old jacket you hadn't worn for ages, or whenever you want to tap into a superpower that will help you and everyone around you live a longer, healthier, happier life, smile. ",（笑聲） 好唔同嘅感覺。 
,咁樣同慢性痛楚有咩關係呢？ 
"I'm a pediatrician and an anesthesiologist, so I put children to sleep for a living. ",想像吓，如果你將哩兩個想法混埋一齊。 
"(Laughter) And I'm an academic, so I put audiences to sleep for free. ",想像你嘅生活會系點 如果我用羽毛掃過呢度， 但係你嘅大腦會話比你聽 哩個就係你嘅感覺 哩個就係我哥個慢性痛楚病人嘅經歷。 
(Laughter) But what I actually mostly do is I manage the pain management service at the Packard Children's Hospital up at Stanford in Palo Alto. ,事實上，試想像某些更壞嘅事情。 
"And it's from the experience from about 20 or 25 years of doing that that I want to bring to you the message this morning, that pain is a disease. ",想像我用羽毛掃過你細路嘅手臂， 佢地嘅大腦會話比佢地聽 佢地感覺到哩把高溫火焰。 
"Now most of the time, you think of pain as a symptom of a disease, and that's true most of the time. ",哩個就係我個病人Chandler嘅經歷， 哩張係佢幅相。 
It's the symptom of a tumor or an infection or an inflammation or an operation. ,你地見到佢係一個靚女。 
"But about 10 percent of the time, after the patient has recovered from one of those events, pain persists. ",我識佢果陣佢先至16歲， 佢渴望成為一位職業舞蹈員。 
"It persists for months and oftentimes for years, and when that happens, it is its own disease. ",喺佢一次舞蹈排練嘅過程中， 佢跌親壓住咗伸出嘅手臂，跟住扭親埋手腕 
"And before I tell you about how it is that we think that happens and what we can do about it, I want to show you how it feels for my patients. ",兒家你地大概可以想象就好似佢感， 扭傷手腕喺人生中 只不過係件小事。 
"So imagine, if you will, that I'm stroking your arm with this feather, as I'm stroking my arm right now. ","只需用ACE繃帶包紮吓， 只食一到兩個星期嘅布洛芬止痛藥, 就無乜事喇。 "
"Now, I want you to imagine that I'm stroking it with this. ",不過喺Chandler嘅病例中，服藥只係故事嘅開始。 
Please keep your seat. ,哩個係佢手臂嘅樣 佢扭傷咗大概3個星期後先來穩我。 
(Laughter) A very different feeling. ,你地可以睇到佢嘅手臂， 已經褪色同埋發紫。 
Now what does it have to do with chronic pain? ,摸上去好似屍體咁凍。 
"Imagine, if you will, these two ideas together. ",肌肉僵硬、麻痹、 張力障礙。 
"Imagine what your life would be like if I were to stroke it with this feather, but your brain was telling you that this is what you are feeling -- and that is the experience of my patients with chronic pain. ",痛楚從腕部擴展到手， 再到手指，痛楚從手腕擴展到肘部， 甚至幾乎到左肩部。 
"In fact, imagine something even worse. ",最惨嘅係， 並唔係自發嘅整日痛楚。 
"Imagine I were to stroke your child's arm with this feather, and their brain [was] telling them that they were feeling this hot torch. ",最慘嘅系佢掂下野就會痛， 醫學上叫觸痛 同剛才羽毛、高溫火焰一樣。 
"That was the experience of my patient, Chandler, whom you see in the photograph. ",輕輕觸摸佢嘅手臂、 手， 甚至係衣袖 都會引發劇烈的、燒灼般嘅痛苦。 
"As you can see, she's a beautiful, young woman. ",神經系統系點解會錯成咁樣？ 
"She was 16 years old last year when I met her, and she aspired to be a professional dancer. ",點解神經系統 誤解咗一個無辜嘅知覺 就好似摸佢隻手 會變成惡毒嘅知覺 火焰燒灼般嘅觸覺。 
"And during the course of one of her dance rehearsals, she fell on her outstretched arm and sprained her wrist. ",你大概可以想像機體中嘅神經系統 就好似你屋企裡面嘅導​​線。 
"Now you would probably imagine, as she did, that a wrist sprain is a trivial event in a person's life. ",在屋企裡面，導線佈滿牆壁， 從開關制到天花板嘅連接盒 從連接盒到燈泡。 
"Wrap it in an ACE bandage, take some ibuprofen for a week or two, and that's the end of the story. ",當你開開關制，燈就著。 
"But in Chandler's case, that was the beginning of the story. ",當你關閉開關制，燈就熄。 
This is what her arm looked like when she came to my clinic about three months after her sprain. ,就用咁嘅方式想像神經系統。 
"You can see that the arm is discolored, purplish in color. ",如果一個錘打傷你嘅手指， 你手臂嘅導線，當然，我地稱為神經 將信息傳入脊髓裡面嘅連接盒 脊髓入面嘅新嘅線路、新嘅神經， 將信息上傳到大腦 你意識到你嘅手指受咗傷。 
It was cadaverically cold to the touch. ,不過在哩種情況下，當然，在人體內 要比哩個複雜好多。 
"The muscles were frozen, paralyzed -- dystonic is how we refer to that. ",並唔係甘純粹 連接盒在脊髓入邊 神經之間嘅聯繫非常簡單 通過釋放哩D棕色包裹 內涵化學信息，我地叫佢做神經遞質 線性一一傳導信息， 事實上， 神經遞質嘅釋放在三維空間裡進行 脊髓入面：橫向，縱向，垂直 佢地開始與相連嘅細胞 相互作用 
"The pain had spread from her wrist to her hands, to her fingertips, from her wrist up to her elbow, almost all the way to her shoulder. ",哩D細胞叫做膠質細胞， 之前被認為係 脊髓中最唔重要嘅結構元素 除咗幫助所有重要嘅好似神經細胞甘嘅物質 聚合在一齊之外，無其他用途。 
"But the worst part was, not the spontaneous pain that was there 24 hours a day. ",不過其實 膠質細胞扮演著一個重要角色 在調製，放大 同埋痛楚、扭曲 嘅感覺體驗入邊， 
"The worst part was that she had allodynia, the medical term for the phenomenon that I just illustrated with the feather and with the torch. ",哩D膠質細胞被激活 
"The lightest touch of her arm -- the touch of a hand, the touch even of a sleeve, of a garment, as she put it on -- caused excruciating, burning pain. ",佢地嘅DNA開始合成 新蛋白跟住釋放出来。 同相連嘅神經相互作用， 佢地開始釋放神經遞質 果D神經遞質釋放出去 激活相連嘅膠質細胞，一直持續向前， 直到找到 一個確定嘅反饋迴路。 
How can the nervous system get this so wrong? ,就好似有人来到你屋企 重新在牆上拉線， 跟住下一次你開燈哥陣， 馬桶開始自動沖洗， 或者係你嘅洗碗機開咗， 或者係你嘅電腦屏幕開咗。 
How can the nervous system misinterpret an innocent sensation like the touch of a hand and turn it into the malevolent sensation of the touch of the flame? ,太瘋狂了， 但實際上就係咁 —— 慢性痛楚嘅情况。 
Well you probably imagine that the nervous system in the body is hardwired like your house. ,也就係由痛楚變成疾病嘅原因。 
"In your house, wires run in the wall, from the light switch to a junction box in the ceiling and from the junction box to the light bulb. ",神經系統有可塑性， 
"And when you turn the switch on, the light goes on. ",佢會改變，會變換 作為刺激嘅回應。 
"And when you turn the switch off, the light goes off. ",好，咁我地打算點做呢？ 
So people imagine the nervous system is just like that. ,Chandler嘅病例我地可以點做？ 
"If you hit your thumb with a hammer, these wires in your arm -- that, of course, we call nerves -- transmit the information into the junction box in the spinal cord where new wires, new nerves, take the information up to the brain where you become consciously aware that your thumb is now hurt. ",目前我地對於哩D患者嘅治療方法 仲停留在非常粗糙嘅階段。 
"But the situation, of course, in the human body is far more complicated than that. ",我地用可以改變症狀嘅藥物來治療佢地 止痛药 講真，對於哩類痛楚來講 唔係特別有效。 
"Instead of it being the case that that junction box in the spinal cord is just simple where one nerve connects with the next nerve by releasing these little brown packets of chemical information called neurotransmitters in a linear one-on-one fashion, in fact, what happens is the neurotransmitters spill out in three dimensions -- laterally, vertically, up and down in the spinal cord -- and they start interacting with other adjacent cells. ",對於本來安靜但係現在 亢奮過度嘅神經， 我地用局部麻醉方式令到佢地休眠。 
"These cells, called glial cells, were once thought to be unimportant structural elements of the spinal cord that did nothing more than hold all the important things together, like the nerves. ",最重要嘅係，我地所做嘅 係用一個嚴格嘅進程，通常並唔咁係舒服嘅 物理治療同職業療法 喺神經系統入面重新訓練神經 使到能正常應答 尤其係果D日常生活嘅所有 正常活動同感覺體驗。 
"But it turns out the glial cells have a vital role in the modulation, amplification and, in the case of pain, the distortion of sensory experiences. ",我地全力支持 用密集嘅心裡療法計劃 打擊嚴重慢性痛楚所引起嘅 失望、绝望、 憂慮症狀。 
These glial cells become activated. ,Chandler嘅病例係成功嘅， 你地睇到嘅視頻来自Chandler， 兩個月後嘅现在， 正在進行後翻身跳轉。 
"Their DNA starts to synthesize new proteins, which spill out and interact with adjacent nerves, and they start releasing their neurotransmitters, and those neurotransmitters spill out and activate adjacent glial cells, and so on and so forth, until what we have is a positive feedback loop. ",我我昨天同佢一齊吃午餐， 因為佢喺在長灘市嘅大學學習舞蹈。 佢表演得太好了。 
"It's almost as if somebody came into your home and rewired your walls so that the next time you turned on the light switch, the toilet flushed three doors down, or your dishwasher went on, or your computer monitor turned off. ",未來會更加精彩。 
"That's crazy, but that's, in fact, what happens with chronic pain. ",未來將承諾 新藥將會發展 成唔係症狀控制嘅藥物 我地現在哩D藥物， 太輕易地掩飾痛楚。 但係改變症狀嘅藥物 將會真正瞄準問題嘅本源 攻擊果D會擴張神經膠質細胞 產生有害蛋白 有害嘅蛋白， 佢地嘅釋放會終結可塑嘅 樞神經系統， 咁樣就可以扭曲同放大 感覺體驗嘅能力 我地稱之為痛楚。 
And that's why pain becomes its own disease. ,所以我希望 在未来， George Carlin嘅预言可以被咁樣理解， 佢話：我嘅哲學： “唔痛，唔痛” 
The nervous system has plasticity. ,多谢大家 
"It changes, and it morphs in response to stimuli. ",（鼓掌） 
"Well, what do we do about that? ",
What can we do in a case like Chandler's? ,我一直覺得TED有一羣好勁噶聽衆， 令人印象深刻，有智慧， 聰明、機智、 經歷豐富、有創新。 
We treat these patients in a rather crude fashion at this point in time. ,我真係咁覺嘎。 
"We treat them with symptom-modifying drugs -- painkillers -- which are, frankly, not very effective for this kind of pain. ",不過，我有理由相信 你地之中噶好多人 用緊錯誤噶方式綁鞋帶。 
"We take nerves that are noisy and active that should be quiet, and we put them to sleep with local anesthetics. ",（笑聲） 我知聽起來几荒謬。 
"And most importantly, what we do is we use a rigorous, and often uncomfortable, process of physical therapy and occupational therapy to retrain the nerves in the nervous system to respond normally to the activities and sensory experiences that are part of everyday life. ",我知聽起來几荒謬。 
"And we support all of that with an intensive psychotherapy program to address the despondency, despair and depression that always accompanies severe, chronic pain. ",但係相信我，我曾經過住同樣悽慘噶生活。 直到大概3年前先結束。 
"It's successful, as you can see from this video of Chandler, who, two months after we first met her, is now doings a back flip. ",果陣我 我买左一對好贵噶鞋。 
"And I had lunch with her yesterday because she's a college student studying dance at Long Beach here, and she's doing absolutely fantastic. ",綁住尼龙鞋带， 但我唔识点绑。 
But the future is actually even brighter. ,跟住我翻翻到商店同个老板讲， “我钟意哩对鞋，但我好憎个鞋带。“ 
"The future holds the promise that new drugs will be developed that are not symptom-modifying drugs that simply mask the problem, as we have now, but that will be disease-modifying drugs that will actually go right to the root of the problem and attack those glial cells, or those pernicious proteins that the glial cells elaborate, that spill over and cause this central nervous system wind-up, or plasticity, that so is capable of distorting and amplifying the sensory experience that we call pain. ",距睇左下讲：“噢，你绑錯左啦。” 
"So I have hope that in the future, the prophetic words of George Carlin will be realized, who said, ""My philosophy: No pain, no pain."" ",直到果阵， 我原先覺得到左50歲 一定會識噶生存技能 系綁鞋帶。 
Thank you very much. ,其實唔係——我現在來展示下 
(Applause) ,哩個係 我地大多數人學習綁鞋帶噶方式 
,現在搞點——多謝。 
"I'm used to thinking of the TED audience as a wonderful collection of some of the most effective, intelligent, intellectual, savvy, worldly and innovative people in the world. ",等陣，仲有更多。 
And I think that's true. ,結果 哩個結有牢固同脆弱兩種模式。 我地學習噶係脆弱模式。 你可以咁判斷。 
"However, I also have reason to believe that many, if not most, of you are actually tying your shoes incorrectly. ",如果拉個結下邊個鞋帶， 你會見到個結轉動， 向下同個鞋個牙長軸對齊。 
(Laughter) Now I know that seems ludicrous. ,哩個就係脆弱模式。 
I know that seems ludicrous. ,不過無所謂。 
"And believe me, I lived the same sad life until about three years ago. ",如果我地從新來過 用第二種好簡單噶方式 來繞過距 就可以得到牢固噶結 
"And what happened to me was I bought, what was for me, a very expensive pair of shoes. ",如果拉結下邊個鞋帶， 你會見到個結轉動 同鞋噶橫軸對齊。 
"But those shoes came with round nylon laces, and I couldn't keep them tied. ",哩個就係牢固噶結，距無咁容易粒。 
"So I went back to the store and said to the owner, ""I love the shoes, but I hate the laces."" ",同樣都唔會令你失望。 
"He took a look and said, ""Oh, you're tying them wrong."" ",唔但只係感樣，距更加好睇 
"Now up until that moment, I would have thought that, by age 50, one of the life skills that I had really nailed was tying my shoes. ",我地再來一次。 
(Laughter) But not so -- let me demonstrate. ,（掌聲） 從尋常野開始 用另一種方式繞圈。 
This is the way that most of us were taught to tie our shoes. ,對於小朋友來講有少少難度， 不過我覺得你地可以掌握距。 
Now as it turns out -- thank you. ,拉個結。 
"(Applause) Wait, there's more. ",哩度：牢固噶結。 
"As it turns out -- (Laughter) there's a strong form and a weak form of this knot, and we were taught the weak form. ",爲左相應今日噶主題， 我想指出噶係——有D野你地係知道噶—— 生活中噶某些地方噶 小優勢 都可以係其他地方產生好強大噶結果 
"If you pull the strands at the base of the knot, you will see that the bow will orient itself down the long axis of the shoe. ",多福多壽。 
That's the weak form of the knot. ,（掌聲） 
But not to worry. ,
"If we start over and simply go the other direction around the bow, we get this, the strong form of the knot. ",從所有表面來看， John事事都很順利。 
"And if you pull the cords under the knot, you will see that the bow orients itself along the transverse axis of the shoe. ",他剛剛以六位數的利潤 簽售了他在紐約的公寓， 而他擁有呢套公寓 只不過五年時間。 
This is a stronger knot. ,他碩士畢業的學校 剛剛向他提供一份教書的職位， 呢個職位唔單只代表工資， 更意味著多年以來第一次的福利。 
It will come untied less often. ,然而，儘管對於John來說事事順利， 他依然處於掙扎之中， 他在于毒癮和無法擺脫的抑鬱爭鬥。 
"It will let you down less, and not only that, it looks better. ",2003年6月11日的夜晚， 他爬上了曼哈頓大橋 圍欄的邊緣， 縱身跳入橋下莫測的河水中。 
We're going to do this one more time. ,不可思議地 – 唔係，奇跡般地 – 他生還了。 
(Applause) Start as usual -- (Applause) go the other way around the loop. ,墜落導致他的右臂粉碎， 他的每條肋骨都斷了， 他的肺被刺穿， 他順著河流漂到東河時， 時而清醒時而昏迷， 他漂到了布魯克林大橋下， 到了史帝登島渡輪的入口， 在那里渡輪上的乘客 聽到他痛苦的叫聲， 報告了船長， 船長報告了海岸警衛隊， 海岸警衛隊把他從東河打撈上來 并把他送到瞭貝爾維醫院。 
"This is a little hard for children, but I think you can handle it. ",事實上這才是故事的開始。 
Pull the knot. ,因為一旦John承諾 重新振作 – 首先生理上，然後情緒上， 再到精神上 – 他發現只有很少可用資源 來幫助那些像他一樣曾經嘗試 以同樣的方式結束生命的人。 
There it is: the strong form of the shoe knot. ,研究發現 20個試圖自殺的人中 有19人 會失敗。 
"Now, in keeping with today's theme, I'd like to point out -- something you already know -- that sometimes a small advantage someplace in life can yield tremendous results someplace else. ",但是這些失敗的人 第二次自殺的成功機率 是37倍。 
(Laughter) Live long and prosper. ,這確實是 一群高危人群， 然而卻只有很少的資源去支持他們。 
(Applause) ,對于那些 試著回到原來的生活的人又是怎樣的情況？ 因為我們對自殺的避忌， 我們不確定要說些什麼， 而很多時候我們什麼都沒有說。 
,因此這樣就更加 令像John那樣的人覺得自己處於被孤立的狀態。 
"From all outward appearances, John had everything going for him. ",我非常了解John的故事 因為我就是John。 
"He had just signed the contract to sell his New York apartment at a six-figure profit, and he'd only owned it for five years. ",今天在這里， 是我每一次在公共場合 講述 我的經歷。 
"The school where he graduated from with his master's had just offered him a teaching appointment, which meant not only a salary, but benefits for the first time in ages. ",然而在2006年失去一位敬愛的教師 以及上一年因自殺而失去的好友之後， 在參加了上一年的TEDActive之後， 我意識到自己需要站出來不再沈默， 克服我的避忌 來講述一個值得傳播的思想 – 即是那些 作出艱難抉擇 決定重新開始的人來說， 他們需要更多的資源以及我們的幫助。 
"And yet, despite everything going really well for John, he was struggling, fighting addiction and a gripping depression. ",正如Trevor項目提倡的，一切都會好起來的。 
"On the night of June 11th, 2003, he climbed up to the edge of the fence on the Manhattan Bridge and he leaped to the treacherous waters below. ",會變得更好的。 
"Remarkably -- no, miraculously -- he lived. ",今天我選擇站出來 述說一個完全不同的人生， 來鼓勵大家，力勸大家， 如果你或者 你身邊認識的人 考慮過或嘗試過自殺， 請與人傾訴，尋求援助。 
"The fall shattered his right arm, broke every rib that he had, punctured his lung, and he drifted in and out of consciousness as he drifted down the East River, under the Brooklyn Bridge and out into the pathway of the Staten Island Ferry, where passengers on the ferry heard his cries of pain, contacted the boat's captain who contacted the Coast Guard who fished him out of the East River and took him to Bellevue Hospital. ",這是一個值得討論的話題， 一個值得傳播的想法。 
And that's actually where our story begins. ,多谢。 
"Because once John committed himself to putting his life back together -- first physically, then emotionally, and then spiritually -- he found that there were very few resources available to someone who has attempted to end their life in the way that he did. ",(掌声) 
Research shows that 19 out of 20 people who attempt suicide will fail. ,
But the people who fail are 37 times more likely to succeed the second time. ,今日我喺度， 掀起一場革命。 
This truly is an at-risk population with very few resources to support them. ,喺你攞起武器， 開始高唱戰歌， 或者揀最中意嘅顔色之前， 我想明確一下我對革命嘅定義， 
"And what happens when people try to assemble themselves back into life, because of our taboos around suicide, we're not sure what to say, and so quite often we say nothing. ",所謂革命， 即係喺我哋嘅思維同行為方式上， 喺我哋嘅思維同行為方式上， 我哋嘅思維同行為方式上，明白嗎? 
And that furthers the isolation that people like John found themselves in. ,點解係史帝夫，點解我哋要一場革命 
I know John's story very well because I'm John. ,我哋需要一場革命 因為有啲嘢唔啱，完全唔啱。 
"And this is, today, the first time in any sort of public setting I've ever acknowledged the journey that I have been on. ",佢哋令我好頽喪， 因為我為佢哋嘅唔啱而覺得。 
"But after having lost a beloved teacher in 2006 and a good friend last year to suicide, and sitting last year at TEDActive, I knew that I needed to step out of my silence and past my taboos to talk about an idea worth spreading -- and that is that people who have made the difficult choice to come back to life need more resources and need our help. ",我痛心于大家沒生活喺以我們嘅潛力可以過嘅生活。 
"As the Trevor Project says, it gets better. ",我痛心于我哋包尾。 
It gets way better. ,我哋喺好多地方都係包尾—— 比如社會方面， 
"And I'm choosing to come out of a totally different kind of closet today to encourage you, to urge you, that if you are someone who has contemplated or attempted suicide, or you know somebody who has, talk about it; get help. ",喺創新上，我哋喺成個歐洲都係包尾嘅 
It's a conversation worth having and an idea worth spreading. ,我哋喺呢度，我哋喺最尾， 被視為唔重視創新嘅民族。 
Thank you. ,我哋喺醫療保健上包尾， 而呢樣嘢對幸福感喺好重要嘅 
(Applause) ,我哋唔止喺歐盟包尾， 我哋仲喺歐洲包尾，墊底。 
,最弊嘅喺， 三個星期前先發布嘅，你哋好多人都應該睇過，經濟學人。 
I'm here today to start a revolution. ,我哋係世界上最悲傷嘅地方， 關聯到人均GDP—— 世界上最悲傷嘅地方。 
"Now before you get up in arms, or you break into song, or you pick a favorite color, I want to define what I mean by revolution. ",呢個只喺社會方邊，再睇下教育。 
"By revolution, I mean a drastic and far-reaching change in the way we think and behave -- the way we think and the way we behave. ",我哋喺三個星期之前， 一份经合組織（OECD）嘅報告指出 
"Now why, Steve, why do we need a revolution? ",閱讀，數學同科學都係包尾嘅，包尾。 
We need a revolution because things aren't working; they're just not working. ,商業上： 我哋係歐盟入面，對于 
And that makes me really sad because I'm sick and tired of things not working. ,【企業家提供福利畀社會】呢個概唸嘅認同度最低。 
"You know, I'm sick and tired of us not living up to our potential. ",結果？ 
I'm sick and tired of us being last. ,最少人做生意。 
"And we are last place in so many things -- for example, social factors. ",即使每個人都知道 小型企業喺經濟發展嘅引擎 呢個事實。 
We're last place in Europe in innovation. ,我哋小型企業提供最多嘅職位，我哋貢獻最多嘅稅收。 
"There we are right at the end, right at the bottom, last place as a culture that doesn't value innovation. ",所以，如果我哋嘅引擎壞咗，會點？ 
"We're last place in health care, and that's important for a sense of well-being. ",喺歐洲人均GDP上我哋亦係包尾。 
"And there we are, not just last in the E.U., we're last in Europe, at the very bottom. ",包尾。 
"And worst of all, it just came out three weeks ago, many of you have seen it, The Economist. ",所以，一啲都唔奇怪， 一啲都唔奇怪。 
"We're the saddest place on Earth, relative to GDP per capita -- the saddest place on Earth. ",我哋唔開心，我哋教育唔好， 我哋仲有最差嘅生意。 
That's social. Let's look at education. ,而呢啲都喺事實啊，各位。 
Where do we rank three weeks ago in another report by the OECD? ,唔係古仔，唔係作出來嘅。 
"Last in reading, math and science. Last. ",唔係！ 
Business: The lowest perception in the E.U. ,唔係我用來針對保加利亞嘅隂謀，呢個喺事實。 
that entrepreneurs provide benefits to society. ,所以，好明顯， 我哋嘅繫統short咗。 
"Why as a result, what happens? ",我哋霖嘢嘅方式，我哋嘅行為， 我哋嘅操作繫統short咗。 
The lowest percentage of entrepreneurs starting businesses. ,我哋需要一個長遠而徹底嘅改變， 來令保加利亞變得更好， 爲咗我哋自己，爲咗我哋嘅朋友 爲咗我哋屋企人，同埋我哋嘅未來。 
And this is despite the fact that everybody knows that small business is the engine of economies. ,點做啊？ 
We hire the most people; we create the most taxes. ,樂觀啲，我哋積極啲。點先可以改變？ 
"So if our engine's broken, guess what? ",我認為，我哋包尾係因為—— 呢個可能會震撼到一啲人—— 因為我哋固步自封。 
Last in Europe GDP per capita. ,我哋扯著自己返轉頭 因為我哋唔重視玩。 
Last. ,我話【玩】！ 
"So it's no surprise, guys, that 62 percent of Bulgarians are not optimistic about the future. ",可能有啲人已經唔記得乜嘢係玩了，玩係咁樣嘅。 
"We're unhappy, we have bad education, and we have the worst businesses. ",bb仔玩，細路仔玩， 大人玩。 
"And these are facts, guys. ",我哋唔重視玩。 
This isn't story tale; it's not make-believe. ,事實上，我哋輕視玩。 
It's not. ,我哋喺呢三個方面輕視玩。 
It's not a conspiracy I have got against Bulgaria. These are facts. ,睇返我哋啱先講嘅三個方面。 
"So I think it should be really, really clear that our system is broken. ",社會方面：45年嘅乜？ 
"The way we think, the way we behave, our operating system of behaving is broken. ",共産主義 社會同國家高于個人利益 無意之中碾壓咗創造力， 自我表達，同創新意識。 
"We need a drastic change in the way we think and behave to transform Bulgaria for the better, for ourselves, for our friends, for our family and for our future. ",相反，我哋重視乜嘢？ 
How did this happen? ,好明顯， 我哋做嘢，生産，同知識運用 係畀我哋嘅社會同製度環境所影響， 共産主義要我哋點做？ 
Let's be positive now. We're going to get positive. How did this happen? ,严肃。 
I think we're last because -- and this is going to be drastic to some of you -- because we are handicapping ourselves. ,要严肃。 
We're holding ourselves back because we don't value play. ,非常非常严肃。 
"I said ""play,"" all right. ",（掌聲） 講真咖。 
"In case some of you forgot what play is, this is what play looks like. ",我已經記唔清畀人喺公園鬧過幾多次， 因為我畀我嘅細路喺地下玩。 
"Babies play, kids play, adults play. ",絕對唔畀佢哋喺泥（кал，保加利亚语）度玩， 更咪話玩水，咁會害死佢哋。 
We don't value play. ,爺爺嫲嫲同我講， 我哋唔可以畀細路玩咁多， 因為人生喺嚴肅認真嘅， 我哋要訓練佢哋面對人生嘅嚴肅認真。 
"In fact, we devalue play. ",我哋文化之中有一個嚴肅嘅基因。 
And we devalue it in three areas. ,係我哋體內嘅社會基因。 
Let's go back to the same three areas. ,一個嚴肅嘅基因。 
Social: 45 years of what? ,45年來 佢創造咗我叫做“嫲嫲因素”嘅嘢。 
